	miRNA	log(FC)	label
16	miR-30-5p	4.700439718141093	+
0	miR-23	3.8875252707415875	+
56	miR-8765	3.4811266897366164	+
31	miR-486	3.1699250014423126	+
57	miR-7456	3.1699250014423126	+
14	miR-30-5p	2.807354922057604	+
8	miR-26	2.807354922057604	+
3	miR-143-3p	-1.5025003405291832	-
28	miR-142-5p	-1.9385994553358568	-
50	miR-56778	-2.523561956057013	-
4	miR-9-5p	-2.7655347463629774	-
36	miR-212-5p	-2.7655347463629774	-
49	miR-181-5p	-2.89616418901546	-
13	miR-655	-3.0223678130284544	-
54	miR-9876	-3.1699250014423126	-
26	miR-486	-3.192645077942396	-
29	miR-188	-3.4329594072761065	-
22	miR-455-3p.1	-3.437405312307298	-
25	miR-338-3p	-3.792557920129524	-
47	miR-10	-3.8579809951275723	-
45	miR-205	-3.925999418556223	-
7	miR-495-3p	-4.247927513443586	-
